Gia_tri_nhan,So_luong
10_Extended_Revolved_Triangle,326
11_Extended_Revolved_Side_Angle,337
12_Gate,107
13_Warrior_I,114
14_Reverse_Warrior,97
15_Low_Lunge,168
16_Warrior_II,176
17_Warrior_III,108
18_Lord_of_the_Dance,232
19_Standing_big_toe_hold,122
1_Eagle,191
20_Standing_Split,78
21_Sitting,213
22_Bound_Angle,148
23_Garland,138
24_Staff,57
25_Noose,17
26_Cow_Face,158
27_Hero_and_thunderbolt,211
28_Bharadvajas_Twist,44
29_Half_Lord_of_the_Fishes,199
2_Tree,166
30_Split,195
31_Wide-Angle_Seated_Forward_Bend,61
32_Head-to-Knee_Forward_Bend,95
33_Revolved_Head-to-Knee,132
34_Seated_Forward_Bend,178
35_Tortoise,43
36_Shooting_bow,43
37_Heron,90
38_King_Pigeon,170
39_Crane_Crow,188
3_Chair,192
40_Shoulder-Pressing,54
41_Cockerel,81
42_Scale,89
43_Firefly,101
44_Side_Crane_Crow,91
45_Eight-Angle,63
46_Sage_Koundinya,63
47_Handstand,117
48_Headstand,197
49_Shoulderstand,141
4_Standing_Forward_Bend,249
50_Feathered_Peacock,129
51_Legs-Up-the-Wall,113
52_Plow,188
53_Scorpion,135
54_Corpse,173
55_Fish,175
56_Happy_Baby,78
57_Reclining_Hand-to-Big-Toe,84
58_Wind_Relieving,90
59_Reclining_cobbler,180
5_Wide-Legged_Forward_Bend,157
60_Reclining_hero,173
61_Yogic_sleep,16
62_Cobra,459
63_Frog,95
64_Locust,139
65_Child,180
66_Extended_Puppy,48
67_Side-Reclining_Leg_Lift,31
68_Side_Plank,204
69_Dolphin_Plank,32
6_Dolphin,51
70_Low_Plank_Four-Limbed_Staff,146
71_Plank,49
72_Peacock,76
73_Upward_Bow,189
74_Upward_Facing_Two-Foot_Staff,42
75_Upward_Plank,143
76_Pigeon,36
77_Bridge,159
78_Wild_Thing,119
79_Camel_Pose,198
7_Downward-Facing_Dog,183
80_Cat_Cow,285
81_Boat,225
82_Bow,130
8_Intense_Side_Stretch,107
9_Half_Moon,161
